SITE_ID,VISIT_NO,PH_LAB,COND,ANC,TURB,DOC,NH4N_PPM,NO3_NO2,NO3N_PPM,NTL,PTL,CHLA,CL_PPM,SO4_PPM,CA_PPM,MG_PPM,NA_PPM,K_PPM,COLOR,SIO2,CATSUM,ANSUM2,SOBC,SECMEAN,CLEAR_TO_BOTTOM
NLA06608-0440,1,8.16,201.9,1342.85,103,4.85,0.005,0.269,0.273,0.853,182,5.46,15.02,6.451,16.6,4.284,12.52,4.231,20,7.771,1834.27,1920.31,1833.67,0.64,NA
NLA06608-0442,1,8.84,2360,12893.22,8.19,67.34,0.46,0.081,0.909,6.559,385,4.496,67.966,682.297,46.03,225.5,123,91.88,29,20.268,28577.41,29080.59,28553.03,0.76,NA
NLA06608-0444,1,6.82,26.13,71.83,15.5,3.72,0.015,0.005,0.005,0.383,42,10.272,1.369,4.099,1.405,0.461,1.223,1.164,7,1.189,192.23,195.94,191.01,NA,NA
NLA06608-0445,1,8.23,385.2,1682.51,3.55,3.54,0.043,0.005,0.005,0.336,15,6.848,32.875,49.879,38.11,9.362,17.31,2.204,6,0.104,3484.22,3648.27,3481.38,1.47,NA
NLA06608-0447,1,7.32,96.98,316.54,0.573,2.48,0.01,0.005,0.005,0.079,3,1.205,3.648,19.264,7.22,4.131,3.607,1.698,5,6.627,901.29,820.92,900.53,4.5,NA
NLA06608-0449,1,8.96,215.3,2257.58,2.56,2.81,0.005,0.005,0.005,0.404,16,4.391,1.529,5.272,16.97,15.12,4.492,1.642,7,17.227,2328.68,2410.47,2328.39,1.95,NA
NLA06608-0452,1,8.17,694.1,3467.88,3.59,5.32,0.012,0.005,0.005,0.604,37,7.246,45.482,114.766,41.38,21.74,68.9,6.852,12,0.084,7026.84,7140.18,7026.04,1.21,NA
NLA06608-0453,1,6,93.31,68.38,2.36,19.64,0.028,0.07,0.074,1.056,48,4.314,16.404,5.779,3.875,2.124,7.142,2.702,125,0.727,750.91,657.67,747.91,0.75,NA
NLA06608-0454,1,7.53,326.6,347.44,1.67,4.88,0.017,0.005,0.005,0.367,16,3.2,80.42,7.07,9.409,1.973,49.47,1.406,15,0.79,2820.87,2762.99,2819.65,NA,Y
NLA06608-0456,1,8.44,450.7,2417.56,3.66,5.11,0.005,0.005,0.005,0.681,29,25.098,41.345,37.817,50.82,4.117,32.72,4.453,15,9.181,4412.15,4371.09,4411.83,1.1,NA
NLA06608-0458,1,7.78,99.35,455.56,5.74,10.56,0.013,0.005,0.005,0.947,39,15.056,13.288,2.503,7.09,3.472,5.148,0.963,20,1.676,888.97,882.49,888.05,1.15,NA
NLA06608-0459,1,7.83,87.02,584.37,1.35,3.66,0.01,0.005,0.005,0.2,8,3.984,3.634,6.713,10.82,1.648,2.116,1.748,6,0.673,812.98,826.65,812.28,2.63,NA
NLA06608-0462,1,6.68,14.28,55.39,0.647,2.17,0.005,0.005,0.005,0.194,3,NA,0.184,2.412,1.37,0.386,0.225,0.34,0,0.025,118.96,111.01,118.61,7.95,NA
NLA06608-0463,1,8.36,716.6,3293.6,9.38,6.91,0.097,0.014,0.005,1.031,82,30.72,101.662,39.106,56.21,21.24,41.85,3.199,12,8.88,6461.09,6975.98,6454.87,0.58,NA
NLA06608-0467,1,8.37,396.5,3561.11,3.53,6.22,0.033,0.079,0.168,0.788,15,12.72,15.767,16.115,29.73,29.66,6.43,1.998,21,2.25,4257.09,4353.35,4254.98,1.1,NA
NLA06608-0468,1,7.16,28.49,179.62,0.377,1.24,0.005,0.038,0.042,0.179,8,0.643,0.05,3.352,3.877,0.399,0.471,0.314,6,1.707,255.24,254.31,254.81,7.1,NA
NLA06608-0469,1,7.41,63.1,294.88,1.19,2.41,0.005,0.005,0.005,0.191,11,3.352,5.095,5.052,7.605,1.047,1.866,0.464,5,0.943,558.93,543.81,558.68,4,NA
NLA06608-0470,1,7.23,65.55,180.59,0.663,4.15,0.022,0.005,0.005,0.193,8,1.512,10.624,3.094,3.173,0.584,6.868,0.747,13,0.567,525.85,544.73,524.24,5.75,NA
NLA06608-0471,1,8.69,407.3,4278.29,3.25,7.87,0.025,0.005,0.005,0.839,24,5.52,3.428,17.105,30.26,31.28,5.471,4.553,6,19.562,4439.8,4731.11,4438.37,1.77,NA
NLA06608-0472,1,7.34,90.94,725.87,25,9.57,0.02,0.005,0.005,0.803,78,19.2,2.531,4.233,8.812,2.785,3.184,2.883,48,4.579,882.58,885.44,881.12,0.39,NA
NLA06608-0473,1,8.45,99.57,572.05,4.81,3.09,0.018,0.005,0.005,0.714,55,36.823,7.425,6.128,5.877,2.396,7.05,2.433,14,10.493,860.44,909.07,859.31,1.03,NA
NLA06608-0479,1,8.06,580.7,1691.18,2.39,3.08,0.012,0.005,0.005,0.318,14,5.296,48.555,114.447,40.83,21.57,28.54,10.52,4,1.344,5323.68,5443.8,5322.86,2.92,NA
NLA06608-0480,1,8.44,321.9,3225.06,0.679,2.79,0.012,0.005,0.005,0.194,3,1.52,4.681,9.376,35.03,20.95,4.026,1.637,10,6.365,3689.68,3552.3,3688.92,5.21,NA
NLA06608-0480,2,8.47,314.8,3196.42,0.92,2.71,0.017,0.006,0,0.247,4,1.066,4.738,8.895,32.84,19.87,3.517,1.332,4,6.734,3461.98,3515.26,3460.83,NA,NA
NLA06608-0483,1,8.4,989.6,2210.02,0.851,2.93,0.021,0.193,0.164,0.461,4,3.84,125.736,183.318,62.32,19.06,99.89,3.887,5,14.53,9123.91,9584.92,9122.57,4.32,NA
NLA06608-0484,1,7.7,79.49,606.99,19.4,5.41,0.376,0.02,0.044,1.519,190,126.4,3.976,0.732,6.056,2.042,2.882,3.258,15,13.291,705.12,737.54,678.92,0.28,NA
NLA06608-0488,1,7.84,180.3,1652.2,16.3,7.85,0.02,0.005,0.005,1.07,162,49.68,3.588,5.415,23.44,3.931,3.583,2.969,32,9.354,1726.31,1866.16,1724.92,0.45,NA
NLA06608-0489,1,8.81,135.3,837.26,14.6,11.7,0.029,0.005,0.005,1.275,107,24.32,12.408,2.527,11.29,3.194,6.702,4.023,38,9.72,1222.18,1239.85,1220.61,0.5,NA
NLA06608-0491,1,8.37,429.4,3104.53,1.59,7,0.015,0.005,0.005,0.665,16,7.2,21.951,28.918,42.71,19.19,8.333,1.771,16,8.971,4119.06,4325.76,4118.1,NA,Y
NLA06608-0493,1,7.96,174.8,707.62,3.3,3.48,0.013,0.005,0.005,0.353,15,9.472,22.727,10.214,12.65,4.726,9.914,1.74,21,5.545,1496.77,1561.32,1495.87,1.52,NA
NLA06608-0494,1,8.37,280.4,2956.64,3.64,5.02,0.02,0.005,0.005,0.401,4,24.64,1.867,2.333,33.73,12.63,4.312,1.264,3,13.698,2943.6,3057.88,2942.31,1.65,NA
NLA06608-0495,1,8.2,196.3,1517.51,0.72,2.26,0.005,0.005,0.005,0.136,11,1.774,1.193,17.339,25.33,4.914,3.626,1.279,8,11.075,1859.1,1912.16,1858.77,4.68,NA
NLA06608-0496,1,9.22,3410,6451.33,2.27,41.92,0.142,0.005,0.005,4.372,620,0.694,141.873,1431.744,97.77,124.8,535.4,12.91,37,0.392,38772.61,40261.91,38767.08,NA,Y
NLA06608-0497,1,8.49,236.8,2438.87,4.91,1.44,0.005,0.005,0.005,0.156,17,0.858,1.858,2.419,29.73,10.09,2.315,1.076,3,4.772,2442.16,2541.64,2442.03,1.42,NA
NLA06608-0498,1,8.01,127.6,624.37,5.56,3.66,0.013,0.042,0.055,0.82,44,26.424,12.452,8.357,11.44,2.091,6.521,2.476,25,0.661,1090.79,1153.52,1089.9,1.05,NA
NLA06608-0500,1,7.17,40.9,208.02,2.09,2.51,0.005,0.005,0.005,0.266,21,13.12,1.909,4.114,2.442,1.185,2.485,0.926,5,7.527,351.71,347.59,351.14,1.55,NA
NLA06608-0501,1,8.35,164.4,1358.23,0.806,3.05,0.005,0.005,0.005,0.182,6,0.634,7.921,5.395,8.009,11.42,5.994,0.583,9,10.667,1615.6,1693.98,1615.01,5.95,NA
NLA06608-0502,1,8.42,612.4,3102.62,1.36,7.37,0.005,0.005,0.005,0.648,5,2.28,92.129,13.378,41.92,22.17,37.71,2.784,10,1.826,5628.02,5979.74,5627.63,3.83,NA
NLA06608-0503,1,8.58,2575,4366.32,63.2,17.18,0.022,0.005,0.005,5.916,430,244.8,27.818,1319.882,110.5,216.9,172.5,28.33,22,37.191,31591.46,32630.9,31590.14,0.14,NA
NLA06608-0508,1,7.8,76.03,699.93,86.2,6.91,0.02,0.005,0.005,0.756,283,28,1.516,0.532,7.987,2.518,2.6,1.216,2,8.618,751.35,753.78,749.95,0.26,NA
NLA06608-0509,1,7.75,352.4,635.76,1.09,2,0.023,0.633,0.621,0.821,4,1.232,40.46,57.15,29.04,6.809,21.51,1.81,10,3.246,2992.94,3011.19,2991.32,5.5,NA
NLA06608-0510,1,8.79,1329,5260.43,20.1,16.28,0.052,0.005,0.005,2.916,165,71.2,44.739,371.18,35.69,59.91,158.7,32.9,13,24.763,14458.18,14250.31,14455.35,0.48,NA
NLA06608-0511,1,7.81,147.8,794.6,3,1.14,0.005,0.005,0.005,0.112,13,2.352,0.177,26.489,16.32,3.373,3.696,1.616,4,16.526,1294.25,1351.11,1294.02,1.7,NA
NLA06608-0512,1,8.78,684.7,8008.89,8.27,27.8,0.034,0.005,0.005,2.447,61,11.84,5.479,7.592,26.44,70.9,13.15,26.86,25,12.254,8414.42,8321.5,8412.56,0.71,NA
NLA06608-0514,1,8.01,219.9,1107.02,1.01,2.36,0.016,0.797,0.791,1.009,7,3.856,14.256,25.218,22.37,6.804,7.351,1.656,4,0.524,2039.35,2090.65,2038.26,3.05,NA
NLA06608-0515,1,8.83,1895,13095.89,14.2,26.13,1.323,0.005,0.005,4.984,335,5.92,73.945,359.777,14.16,133.2,201.3,71.72,21,26.585,22328.32,22672.14,22257.77,0.84,NA
NLA06608-0523,1,8.49,1799,2685.87,8.86,11.03,0.161,0.005,0.005,1.738,115,48.6,54.092,800.103,122.9,113.4,97.43,13.15,6,8.058,20048.43,20869.74,20038.47,1.25,NA
NLA06608-0526,1,7.02,36.09,226.76,1.46,14.15,0.016,0.005,0.005,0.651,17,11.008,0.261,3.279,2.717,2.006,1.05,0.304,39,0.285,355.33,302.49,354.1,1.55,NA
NLA06608-0528,1,8.28,818.9,2901.49,8.87,5.25,0.13,0.005,0.005,0.814,65,11.792,33.095,221.301,57.99,20.55,77.21,11.28,18,14.243,8240.15,8442.46,8231.67,0.7,NA
NLA06608-0529,1,8.83,276.1,2543.91,7.01,3.28,0.005,0.005,0.005,0.508,42,26.08,4.007,14.869,23.22,12.46,13.6,4.34,3,26.14,2887.04,2966.51,2886.56,1.93,NA
NLA06608-0530,1,8.1,36000,1611.82,3.66,4.78,0.068,0.012,0.005,1.016,117,17.76,15814.309,2141.727,244.5,913.6,7119,302,33,3.134,404767.06,492260.98,404762.49,1.05,NA
NLA06608-0531,1,8.4,9751,3386.07,6.34,23.96,0.12,0.021,0.005,2.697,57,3.813,506.883,6398.215,342.6,737.7,1257,101.1,12,10.521,135069.5,150894.05,135061.89,1.15,NA
NLA06608-0533,1,8.01,129.4,832.2,0.852,2.33,0.031,0.035,0.066,0.178,6,3.18,7.215,8.678,14.71,2.561,4.206,1.068,1,1.84,1157.15,1221.1,1155.04,3.8,NA
NLA06608-0537,1,7.17,150.2,205.64,2.81,2.01,0.022,0.026,0.027,0.256,11,2.335,27.91,9.441,5.463,2.031,15.91,1.028,14,2.259,1159.7,1191.43,1158.07,1.78,NA
NLA06608-0540,1,8.29,1255,3208.09,31.7,9.72,0.014,0.005,0.005,2.25,235,95.04,27.906,478.01,126.2,63.04,48.88,14.68,23,12.076,13987.36,13947.38,13986.44,0.21,NA
NLA06608-0541,1,7.31,275.6,434.85,2.71,3.99,0.018,0.005,0.005,0.329,14,6.016,61.376,5.125,9.801,3.111,32.52,2.814,6,1.764,2232.9,2272.77,2231.58,1.6,NA
NLA06608-0542,1,8.13,129.7,1211.41,1.62,13.49,0.032,0.011,0.005,1.303,15,3.184,0.409,5.092,14.57,6.66,0.726,1.153,12,0.748,1338.3,1329.33,1336.15,NA,Y
NLA06608-0546,1,8.49,746.2,1848.8,2.19,5.61,0.072,3.429,3.168,4.022,181,14.944,135.587,34.099,38.34,4.048,87.19,8.215,15,0.734,6253.39,6609.28,6248.94,1.98,NA
NLA06608-0547,1,8.28,311.1,2165.72,2.16,6.34,0.013,0.005,0.005,0.519,10,2.107,14.105,28.461,27.98,17.94,3.857,1.736,19,3.798,3085.47,3156.13,3084.62,3.6,NA
NLA06608-0550,1,6.85,27.88,76.32,0.454,2.48,0.005,0.022,0.023,0.234,1,1.312,2.296,3.605,2.125,0.343,1.751,0.373,5,1.627,220.68,217.92,219.97,5.95,NA
NLA06608-0551,1,8.5,509.6,3624.73,4.34,6.68,0.179,0.43,0.574,1.361,54,16.8,26.028,52.966,46.83,30.91,12.97,4.632,10,5.929,5574.01,5502.61,5562.97,1.75,NA
NLA06608-0555,1,8.53,682.4,4682.4,3.91,5.65,0.048,0.021,0.204,0.578,8,5.653,66.94,29.274,64.9,22.4,33.24,2.059,6,9.177,6583.22,7194.56,6580.28,2.03,NA
NLA06608-0558,1,8.39,407.1,3990.23,1.94,11.8,0.058,0.005,0.005,1.154,17,7.216,9.032,1.464,28.03,28.57,4.89,4.39,15,3.58,4078.34,4275.47,4074.65,2.4,NA
NLA06608-0560,1,8.49,3256,3515.82,8.15,4.75,0.012,0.005,0.005,0.532,27,12.96,643.933,426.819,61.33,49.57,484.2,8.301,6,11.76,28413.98,30564.97,28413.24,0.8,NA
NLA06608-0561,1,7.25,18.72,149.79,0.683,1.99,0.005,0.005,0.005,0.086,5,0.139,0.182,0.491,1.939,0.273,0.976,0.283,11,5.9,169.18,165.2,168.91,7.05,NA
NLA06608-0562,1,7.03,105.6,107.99,1.03,4.38,0.044,0.053,0.058,0.334,9,2.08,22.664,4.814,3.514,0.748,12.39,0.921,30,2.516,802.61,851.71,799.39,2.78,NA
NLA06608-0562,2,6.88,112.9,115.57,1.27,3.76,0.026,0.034,0.027,0.25,5,2.32,23.999,4.59,3.37,0.777,13.37,0.984,25,3.138,840.93,890.23,838.83,NA,NA
NLA06608-0564,1,7.73,84.09,735.58,3.69,4.09,0.025,0.005,0.005,0.217,14,6.648,0.541,4.159,12.97,1.385,1.691,0.565,12,10.93,850.93,837.45,849.18,2.42,NA
NLA06608-0565,1,8.5,361.3,2527.44,9.26,4.02,0.021,0.005,0.005,0.704,81,40.896,12.984,44.185,29.21,16.42,14.99,1.701,16,14.744,3505.58,3813.6,3504.28,0.76,NA
NLA06608-0569,1,9.85,481,3222.74,14.5,17.75,0.039,0.005,0.005,2.188,518,54,55.38,10.466,30.7,19.47,41.67,4.208,30,2.984,5054.86,5002.69,5054.25,0.43,NA
NLA06608-0570,1,8.41,335.1,3307.64,1.44,3.57,0.019,0.005,0.005,0.3,12,3.488,1.825,13.577,39.24,12.35,9.844,2.156,19,8.199,3458.87,3641.79,3457.67,5.06,NA
NLA06608-0579,1,8.71,1074,8463.16,65.5,23.78,0.055,0.005,0.005,2.694,229,7.136,19.481,204.669,43.48,77.6,74.85,16.61,30,34.258,12238.95,13273.85,12235.82,0.14,NA
NLA06608-0580,1,8.36,688,1638.58,0.775,2.39,0.005,0.024,0.094,0.183,10,1.816,6.284,251.852,56,37.28,23.79,2.718,3,2.71,6966.62,7066.1,6966.42,4.75,NA
NLA06608-0581,1,8.48,257.4,2414.44,0.711,2.68,0.014,0.005,0.005,0.241,8,1.928,2.724,12.386,36.48,7.288,6.053,1.546,11,8.836,2723.77,2749.15,2722.9,6.6,NA
NLA06608-0582,1,7.77,328.1,878.67,4.63,3.31,0.24,1.876,2.123,2.709,315,15.696,49.711,23.451,19.82,4.097,32.33,3.258,15,8.222,2832.42,2920.65,2815.76,1.5,NA
NLA06608-0583,1,8.94,210.9,2081.94,32.5,14.18,0.075,0.005,0.005,4.897,590,326.88,6.093,3.535,24.86,7.615,5.359,4.387,27,9.806,2216.17,2327.4,2212.45,0.28,NA
NLA06608-0585,1,7.87,261.3,1636.93,38.4,3.02,0.056,0.071,0.102,0.505,105,2.528,11.702,31.141,20.26,5.393,20.97,3.065,4,10.209,2449.16,2622.65,2445.29,0.24,NA
NLA06608-0587,1,8.3,257.7,1881.77,4.99,7.21,0.02,0.005,0.005,1.153,29,15.28,12.024,16.33,27.44,9.761,6.499,0.67,4,0.395,2473.6,2560.91,2472.3,1.09,NA
NLA06608-0587,2,8.38,245.7,1890.47,7.01,6.72,0.01,0.005,0.005,1.271,30,20.923,11.72,15.202,26.55,9.517,7.569,0.724,7,0.247,2456.37,2537.55,2455.73,0.75,NA
NLA06608-0588,1,7.86,130.1,836.1,429,6,0.015,0.65,0.65,1.729,589,7.467,3.441,11.535,8.823,2.567,5.978,7.784,30,11.133,1111.67,1219.73,1110.62,0.09,NA
NLA06608-0590,1,6.77,134.2,976.5,5.06,6.17,0.032,0.005,0.005,0.884,46,NA,9.305,2.57,14.37,4.651,4.258,0.466,21,6.957,1299.36,1292.63,1296.92,2.75,NA
NLA06608-0591,1,7.88,72.58,454.68,2.12,1.91,0.005,0.005,0.005,0.182,5,5.808,4.232,4.063,6.203,1.499,3.122,1.428,3,5.706,605.35,658.65,605.2,2.1,NA
NLA06608-0593,1,7.7,68.98,455.44,0.722,3.37,0.032,0.031,0.043,0.203,4,10.688,4.134,3.113,5.926,1.924,3.896,0.455,21,2.418,637.38,639.95,635.13,4.91,NA
NLA06608-0594,1,7.19,58.43,230.95,6.31,10.67,0.028,0.005,0.005,0.821,41,20.64,7.121,1.774,3.367,1.554,3.695,1.533,70,0.337,497.87,468.8,495.82,0.88,NA
NLA06608-0595,1,8.53,2668,6914.98,31.7,26.23,0.06,0.005,0.005,3.828,258,106.56,85.383,1140.157,44.93,172.5,328.4,62.59,28,36.007,32325.81,33061.36,32322.14,0.27,NA
NLA06608-0596,1,7.43,82.31,295.42,0.787,1.29,0.005,0.043,0.051,0.096,1,0.986,0.154,19.273,9.958,1.656,1.069,0.451,7,4.136,691.74,704.71,691.21,5.55,NA
NLA06608-0597,1,8.16,172.3,1495.2,5.82,2.84,0.02,0.011,0.071,0.361,22,7.8,1.941,10.281,18.95,3.376,10.68,1.099,5,8.816,1717.41,1769.07,1716.07,1.26,NA
NLA06608-0599,1,7.82,330.4,1090.46,6.31,8.49,0.018,0.005,0.005,1.012,90,50.256,36.652,42.898,26.24,6.736,20.94,5.865,31,14.491,2925.77,3017.42,2924.51,0.64,NA
NLA06608-0606,1,7.33,151,1072.35,5.18,8.4,0.005,0.005,0.005,0.708,15,5.824,9.648,4.188,15.54,4.738,5.432,0.99,10,1.317,1427.54,1431.72,1426.93,1.55,NA
NLA06608-0608,1,8.59,470.8,3380.74,29,6.89,0.016,0.005,0.005,2.184,327,102.6,29.695,27.781,43.19,17.96,18.39,4.277,15,8.48,4543.34,4796.72,4542.39,0.42,NA
NLA06608-0609,1,9.45,228.9,1243.24,31.8,14.15,0.024,0.005,0.005,3.334,239,187.92,23.669,13.599,23.58,4.004,12.54,3.987,20,1.085,2154.27,2193.98,2153.56,0.23,NA
NLA06608-0610,1,7.65,300.7,437.92,2.52,4.13,0.023,0.039,0.054,0.549,11,5.808,64.877,9.427,11.9,1.931,37.75,2.694,4,0.025,2465.27,2467.99,2463.65,2.6,NA
NLA06608-0611,1,8.67,541.6,3892.88,11.6,5.96,0.021,0.005,0.005,0.903,53,20.64,50.84,23.763,37.11,32.43,22.8,2.822,7,8.561,5585.53,5821.62,5584.31,1.45,NA
NLA06608-0614,1,8.03,219.4,705.68,0.825,2.82,0.017,0.005,0.005,0.259,8,1.216,40.213,3.124,13.65,3.38,18.49,0.332,5,12.401,1773.19,1904.98,1772.03,4.97,NA
NLA06608-0616,1,8.3,1211,1176.53,1.15,6.09,0.013,0.005,0.005,0.483,14,1.692,37.068,537.232,159.1,44.47,40.32,5.204,13,8.518,13486.21,13407.25,13485.36,NA,NA
NLA06608-0617,1,7.77,84.62,819.21,11,6.36,0.022,0.005,0.005,0.513,40,2.443,0.826,1.215,6.526,4.815,2.059,1.417,8,5.003,849.21,867.82,847.67,0.93,NA
NLA06608-0618,1,7.8,89.58,656.49,8.6,4.49,0.011,0.005,0.005,0.257,23,10.173,3.461,2.673,11.61,1.408,2.027,1.115,10,7.519,812.67,809.78,811.89,0.98,NA
NLA06608-0619,1,8.53,429.3,3289.31,2.38,4.58,0.056,0.229,0.281,0.733,7,2.952,20.524,30.941,38.68,24.32,9.369,0.978,11,8.289,4367.34,4532.47,4363.92,2.35,NA
NLA06608-0622,1,8.59,379.6,3407.8,3.66,6.51,0.016,0.005,0.005,0.508,16,4.4,19.027,8.615,33.72,23.21,6.962,3.324,6,2.707,3981.34,4123.84,3980.38,1.4,NA
NLA06608-0623,1,8.34,369.8,2094.57,3.28,4.75,0.005,0.005,0.005,0.628,43,23.2,31.8,29.596,37.3,10.64,16.73,2.081,14,0.948,3518.34,3607.71,3517.75,1.15,NA
NLA06608-0624,1,8.6,280.3,1908.43,6.3,6.13,0.031,0.005,0.043,1.274,49,35.2,16.096,17.74,26.53,9.776,9.1,4.191,12,0.476,2633.16,2734.85,2631.31,0.86,NA
NLA06608-0625,1,6.82,21.56,158.78,0.53,1.46,0.005,0.005,0.005,0.055,1,0.615,0.185,0.325,2.217,0.199,0.735,0.388,3,5.141,169.26,170.92,168.9,7.55,NA
NLA06608-0627,1,7.79,168,1323.79,1.62,7.61,0.033,0.005,0.005,0.616,11,3.192,8.131,4.88,15.01,8.65,3.244,0.468,6,0.35,1616.17,1654.75,1613.87,3.3,NA
NLA06608-0628,1,8.34,461.7,3360.47,13.2,7.37,0.156,0.112,0.162,0.793,40,2.304,12.521,60.833,47.93,13.84,23.07,3.367,6,2.437,4630.22,4991.75,4620.18,0.55,NA
NLA06608-0630,1,9.06,153.1,1636.48,1.34,8.23,0.026,0.005,0.005,0.771,8,2.616,0.363,2.397,15.33,10.34,0.576,0.243,12,3.058,1648.27,1696.63,1647.09,2.05,NA
NLA06608-0632,1,8.55,448.8,2539.32,4.46,6.06,0.018,0.005,0.005,0.746,44,34,23.511,60.774,49.5,10.53,20.41,6.036,8,0.236,4379.8,4467.79,4378.71,0.98,NA
NLA06608-0634,1,8.87,2748,6514.25,42.1,44.7,0.438,0.005,0.005,6.8,288,139.68,31.889,1261.785,74.3,256.7,173.7,32.11,38,15.665,33230.5,33684.36,33207.7,0.41,NA
NLA06608-0635,1,7.97,139.7,806.15,2.63,3.33,0.005,0.005,0.005,0.224,18,5.147,3.04,19.334,17.46,3.546,3.736,0.674,6,2.836,1342.94,1294.44,1342.79,2.03,NA
NLA06608-0637,1,8.63,249,2338.89,9.23,3.99,0.015,0.005,0.096,0.454,21,7.408,3.844,11.235,32.12,9.303,4.597,0.949,15,0.475,2593.43,2688.08,2592.54,4.2,NA
NLA06608-0641,1,8.6,156,1592,3.98,6.27,0.015,0.005,0.005,0.737,49,25.44,0.598,4.531,19.76,5.744,4.273,1.336,16,32.758,1679.62,1703.21,1678.72,1.8,NA
NLA06608-0648,1,8.95,1277,12966.4,37.1,73.44,0.06,0.005,0.005,8.603,349,78.286,29.34,15.464,18.31,33.18,179.1,85.78,55,32.605,13631.33,14115.93,13628.37,0.2,NA
NLA06608-0649,1,7.1,18.37,148.38,1.23,2.01,0.005,0.005,0.005,0.095,9,3.64,0.153,0.125,1.341,0.422,0.985,0.354,6,7.676,153.83,156.19,153.54,5.25,NA
NLA06608-0650,1,8.5,244.7,2726.27,2.5,4.27,0.023,0.005,0.005,0.466,23,6.896,0.945,3.323,29.51,12.67,2.186,1.706,8,5.965,2655.28,2822.11,2653.86,1.8,NA
NLA06608-0651,1,8.7,222.4,1908.9,2.08,2.78,0.012,0.005,0.005,0.29,12,12.96,5.077,12.662,29.2,5.981,3.191,2.787,0,2.028,2160.01,2315.73,2159.33,1.45,NA
NLA06608-0654,1,6.83,22.1,162.5,2.68,9.06,0.005,0.005,0.005,0.698,22,9.152,0.149,0.886,2.167,1.09,0.432,0.067,23,3.038,218.91,185.3,218.33,1.15,NA
NLA06608-0657,1,6.97,28.69,157.47,5.41,7.43,0.005,0.005,0.005,0.559,20,12.48,0.255,2.884,2.791,0.917,0.891,0.248,20,3.736,260.58,224.81,259.83,0.95,NA
NLA06608-0658,1,7.28,59.18,218.2,0.732,1.82,0.005,0.005,0.005,0.11,5,1.116,9.937,1.603,1.991,1.152,6.809,0.627,6,10.308,506.91,531.91,506.36,6.65,NA
NLA06608-0659,1,8.44,888.5,3615.76,8.74,12.8,0.162,0.212,0.205,1.593,432,24.144,18.268,258.401,61.04,33.48,76.92,9.486,35,20.026,9399.52,9525.58,9389.35,1.38,NA
NLA06608-0660,1,8.41,864.6,2638.83,2.76,4,0.315,0.75,0.679,1.546,8,2.904,124.442,96.338,48.67,24.92,72.94,9.465,3,2.599,7913.97,8203.08,7894.05,2.13,NA
NLA06608-0661,1,8.31,204,792.1,7.39,3.86,0.005,0.005,0.005,0.601,22,25.92,28.243,9.829,18.67,1.921,17.3,1.276,11,1.322,1875.05,1793.37,1874.85,1.64,NA
NLA06608-0662,1,7.46,68.4,314.84,1.64,2.88,0.037,0.005,0.023,0.256,12,2.968,8.327,2.508,5.471,1.186,5.077,0.274,8,2.71,601.08,603.6,598.44,2.55,NA
NLA06608-0663,1,9.12,2425,3008.05,39.2,27.7,0.099,0.005,0.005,6.603,618,273.6,17.743,1326.795,153.8,195.5,107.7,42.08,36,23.09,29527.14,31132.38,29522.88,0.13,NA
NLA06608-0665,1,5.51,11.32,5.3,1.88,2.8,0.011,0.005,0.005,0.086,1,2.496,1.793,0.504,0.258,0.159,0.869,0.11,9,0.597,70.45,69.46,66.57,2.25,NA
NLA06608-0671,1,6.75,12.98,64.87,2.4,1.21,0.01,0.094,0.078,0.38,19,1.115,0.409,1.108,1.379,0.268,0.25,0.179,6,0.588,107.21,105.22,106.32,NA,Y
NLA06608-0672,1,8.84,803.6,1783.65,23.1,7.51,0.028,0.005,0.005,2.273,213,63.36,144.595,72.407,31.02,22.32,85.19,8.697,5,16.723,7314.05,7369.61,7312.57,0.31,NA
NLA06608-0674,1,7,35.85,90.57,0.559,3.33,0.005,0.005,0.005,0.243,3,1.024,4.413,3.644,2.319,0.649,2.524,0.417,11,0.319,290.17,291.01,289.58,NA,Y
NLA06608-0677,1,9,894.9,9844.18,35.9,17.86,0.144,0.019,0.005,1.864,150,25.72,12.892,6.618,17.61,36.15,128.6,13.59,15,25.718,9801.68,10345.6,9794.83,0.48,NA
NLA06608-0678,1,8.07,40.06,345.11,3.14,2.2,0.005,0.005,0.005,0.462,52,8.267,0.207,1.414,1.316,1.092,4.709,0.8,10,18.115,381.37,380.4,380.82,NA,Y
NLA06608-0679,1,8.46,509.2,2742.48,2.22,6.19,0.038,0.005,0.048,0.635,13,12.112,73.919,8.842,43.9,6.756,46.65,3.348,6,10.747,4863.72,5014.96,4861.34,2.28,NA
NLA06608-0681,1,6.97,56.11,234.28,2.84,1.74,0.014,0.09,0.085,0.249,9,3.435,2.997,8.18,5.247,1.381,1.838,0.881,4,2.764,479.05,495.3,477.95,2.48,NA
NLA06608-0686,1,9.31,553.4,3210.91,1.3,18.17,0.067,0.005,0.005,1.343,122,4.208,69.49,31.692,31.68,26.59,44.24,3.828,40,31.927,5793.48,5830.77,5791.11,NA,Y
NLA06608-0687,1,8.2,81.22,778.33,1.06,1.97,0.011,0.005,0.005,0.198,13,2.28,0.276,1.23,10.96,2.39,1.153,0.585,5,15.463,809.42,811.73,808.69,6.5,NA
