PUBLICATION_DATE,UID,SITE_ID,DATE_COL,VISIT_NO,PSTL_CODE,STUDY,DSGN_CYCLE,IND_DOMAIN,UNIQUE_ID,SAMPLE_TYPE,FLAG,AGR_CROPLAND,AGR_FEEDLOT,AGR_LIVESTOCK,AGR_ORCHARDS,AGR_PASTURE,AGR_POULTRY,AGR_WITHDRAWAL,ALL_ACTIVITIES_EVALUATED,APPEALING,ARTIFICIAL_CREATED_BY,ARTIFICIAL_LAKE,BENTHIC_MATS,BIOTIC_INTEGRITY,CYANOHABS_SUB_TYPE,CYANOHABS_SUBMITTED,DAM_HEIGHT,DEAD_WLD,HYDRO_TYPE,IND_COMMERCIAL,IND_FIRE,IND_INDUSTRIAL,IND_LOGGING,IND_MINES,IND_ODORS,IND_OIL,IND_POWER,LAKE_LEVEL,LEVEL_CHANGE_M,MACRY_DENSITY,MACRY_FLOAT,MACRY_SUBMERGED,MAN_ANGLING,MAN_DRINKING_WATER,MAN_FISH_STOCKING,MAN_LEVEL_FLUCTUATIONS,MAN_LIMING,MAN_MACROPHYTE,MAN_TREATMENT,MBOAT_DENSITY,MBOAT_RESTRICT,NO_BLOOM_OBSERVED,OTHER_BLOOM,OUTLET_DAMS,OXBOW_RIVERINE,PEA_SOUP,PRE_EUROPEAN_LAKE,PRISTINE,RCH_AGRICULTURE,RCH_BARE_GROUND,RCH_DEVELOPMENT,RCH_FOREST,RCH_GRASS,RCH_SHOREMODS,RCH_SHRUB,RCH_WETLAND,REC_FILMS,REC_MARINAS,REC_PARKS,REC_PRIMITIVE,REC_RESORTS,REC_TRAILS,REC_TRASH,RECREATIONAL_VALUE,RES_BRIDGES,RES_CONSTRUCTION,RES_DUMPING,RES_LAWNS,RES_PIPES,RES_RESIDENCES,RES_ROADS,RES_SEWAGE,REVIEW,SURFACE_WATER_STREAKS,SWIMMABILITY,THICK_SCUM,TROPHIC_STATE,WATER_MANAGED,WATER_PUMP
10/16/2023,2020588,NLA22_LA-10386,6/23/2022,1,LA,NLA,2022,CORE,NLA_LA-10522,CHAB,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2023,2020589,NLA22_NY-10051,6/23/2022,1,NY,NLA,2022,CORE,NLA_NY-10087,ASSESS,,,,,,,,,Y,5,,NO,,EXCELLENT,,,,,DRAINAGE,,,,,,,,,N,,SPARSE,SPARSE,RARE,M,,M,,L,,,NONE,BANNED,,,NONE,NO,,YES,4,RARE,SPARSE,SPARSE,EXTENSIVE,MODERATE,SPARSE,MODERATE,RARE,,,,,,,,EXCELLENT,,,,L,,L,L,,Y,,GOOD,,MESOTROPHIC,,ABSENT
10/16/2023,2020589,NLA22_NY-10051,6/23/2022,1,NY,NLA,2022,CORE,NLA_NY-10087,CHAB,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2023,2020591,NLA22_ME-10004,6/23/2022,1,ME,NLA,2022,CORE,NLA_ME-10070,ASSESS,,,,,,,,,Y,5,,NO,,EXCELLENT,,,,,DRAINAGE,,,,,,,,,N,,SPARSE,RARE,RARE,,,,,,,,NONE,NONE,,,NONE,NO,,UNKNOWN,5,RARE,RARE,RARE,MODERATE,RARE,RARE,SPARSE,MODERATE,,,,,,L,,EXCELLENT,,,,,,,,,Y,,UNSWIMMABLE,,MESOTROPHIC,,ABSENT
10/16/2023,2020591,NLA22_ME-10004,6/23/2022,1,ME,NLA,2022,CORE,NLA_ME-10070,CHAB,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2023,2020592,NLA22_UT-10018,6/23/2022,1,UT,NLA,2022,CORE,NLA_UT-10349,ASSESS,,,,,,,,,Y,4,,NO,,GOOD,,,,,SEEPAGE,,,,,,,,,Y,1.5,SPARSE,RARE,RARE,L,,L,,,,,NONE,NONE,,,NONE,NO,,YES,4,RARE,MODERATE,RARE,MODERATE,SPARSE,RARE,MODERATE,RARE,L,,,L,,L,L,EXCELLENT,,,,,,,,,Y,,FAIR,,MESOTROPHIC,,ABSENT
10/16/2023,2020592,NLA22_UT-10018,6/23/2022,1,UT,NLA,2022,CORE,NLA_UT-10349,CHAB,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2023,2020593,NLA22_WI-10028,6/22/2022,1,WI,NLA,2022,CORE,NLA_WI-10138,ASSESS,,,,,,,,,Y,5,,NO,,EXCELLENT,,,,,DRAINAGE,,,,,,,,,N,,HIGH,MODERATE,EXTENSIVE,,,,,,,,NONE,NONE,,,NONE,NO,,YES,5,RARE,RARE,RARE,EXTENSIVE,RARE,RARE,EXTENSIVE,MODERATE,L,,,,,,,POOR,,,,,,,L,,Y,,UNSWIMMABLE,,EUTROPHIC,,ABSENT
10/16/2023,2020593,NLA22_WI-10028,6/22/2022,1,WI,NLA,2022,CORE,NLA_WI-10138,CHAB,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2023,2020594,NLA22_OH-10004,6/23/2022,1,OH,NLA,2022,CORE,NLA_OH-10068,ASSESS,,,,,,,,,Y,3,,UNKNOWN,,GOOD,,,,,SEEPAGE,,,,,,,,,N,,MODERATE,SPARSE,RARE,M,,L,,,,,LOW,RESTRICTED,,,NONE,NO,,UNKNOWN,3,RARE,RARE,MODERATE,MODERATE,RARE,SPARSE,EXTENSIVE,MODERATE,,L,M,,,M,L,EXCELLENT,,L,L,M,L,M,L,,Y,,FAIR,,EUTROPHIC,,ABSENT
10/16/2023,2020594,NLA22_OH-10004,6/23/2022,1,OH,NLA,2022,CORE,NLA_OH-10068,CHAB,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2023,2020595,NLA22_NE-10031,6/23/2022,1,NE,NLA,2022,CORE,NLA_NE-10178,ASSESS,,M,,H,,H,,,Y,2,IMPOUNDMENT,YES,,POOR,,,YES,,RESERVOIR,,,,,,,,,N,,ABSENT,RARE,RARE,L,,L,,,,,NONE,NONE,,,ARTIFICIAL,NO,,NO,2,RARE,SPARSE,RARE,RARE,EXTENSIVE,RARE,SPARSE,SPARSE,L,,,,,,,FAIR,,,,,,L,,,Y,,UNSWIMMABLE,,HYPEREUTROPHIC,,ABSENT
10/16/2023,2020595,NLA22_NE-10031,6/23/2022,1,NE,NLA,2022,CORE,NLA_NE-10178,CHAB,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,
10/16/2023,2020596,NLA22_DE-10018,6/23/2022,1,DE,NLA,2022,CORE,NLA_DE-10051,ASSESS,,,,,,,,,Y,4,IMPOUNDMENT,YES,,FAIR,,,YES,,RESERVOIR,,,,,,,,,N,,MODERATE,MODERATE,RARE,L,,,,,,,NONE,NONE,,,ARTIFICIAL,NO,,NO,2,RARE,RARE,MODERATE,MODERATE,RARE,RARE,RARE,RARE,L,,,,,,,FAIR,M,M,,H,L,H,M,,Y,,UNSWIMMABLE,,HYPEREUTROPHIC,,ABSENT
10/16/2023,2020596,NLA22_DE-10018,6/23/2022,1,DE,NLA,2022,CORE,NLA_DE-10051,CHAB,,,,,,,,,,,,,,,BLOOMWATCH,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,
10/16/2023,2020597,NLA22_NV-10025,6/23/2022,2,NV,NLA,2022,CORE,NLA_NV-10178,ASSESS,,,,L,,,,,Y,3,IMPOUNDMENT,YES,,POOR,,,YES,,DRAINAGE,,,,,,L,,,N,,MODERATE,SPARSE,SPARSE,M,L,M,L,L,L,L,NONE,RESTRICTED,,,ARTIFICIAL,NO,,NO,1,RARE,MODERATE,SPARSE,MODERATE,SPARSE,RARE,RARE,RARE,M,,,,,H,M,POOR,,L,L,H,H,H,M,,Y,,UNSWIMMABLE,,EUTROPHIC,WATER_SUPPLY,PRESENT
10/16/2023,2020597,NLA22_NV-10025,6/23/2022,2,NV,NLA,2022,CORE,NLA_NV-10178,CHAB,,,,,,,,,,,,,,,,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2023,2020598,NLA22_NV-10068,6/22/2022,2,NV,NLA,2022,CORE,NLA_NV-10218,ASSESS,,,,,,,,,Y,3,IMPOUNDMENT,YES,,FAIR,,,YES,,RESERVOIR,,,,,,,,,N,,ABSENT,RARE,RARE,L,,L,,,,,NONE,BANNED,,,ARTIFICIAL,NO,,NO,2,RARE,MODERATE,RARE,RARE,SPARSE,RARE,MODERATE,MODERATE,,,,L,,,,GOOD,,,,,,,,,Y,,UNSWIMMABLE,,MESOTROPHIC,,ABSENT
10/16/2023,2020598,NLA22_NV-10068,6/22/2022,2,NV,NLA,2022,CORE,NLA_NV-10218,CHAB,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2023,2020599,NLA22_CO-10036,6/24/2022,1,CO,NLA,2022,CORE,NLA_CO-10098,ASSESS,,,,,,,,,Y,5,EXCAVATION,YES,,EXCELLENT,,,,,RESERVOIR,,,,,,,,,N,,HIGH,RARE,MODERATE,M,,M,,,,,NONE,BANNED,,,NONE,NO,,NO,4,RARE,SPARSE,MODERATE,MODERATE,EXTENSIVE,SPARSE,EXTENSIVE,MODERATE,M,,M,,,H,L,EXCELLENT,,,,M,,M,M,,Y,,UNSWIMMABLE,,EUTROPHIC,,ABSENT
10/16/2023,2020599,NLA22_CO-10036,6/24/2022,1,CO,NLA,2022,CORE,NLA_CO-10098,CHAB,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2023,2020600,NLA22_AL-10020,6/23/2022,1,AL,NLA,2022,CORE,NLA_AL-10069,ASSESS,,,,,,,,,Y,5,IMPOUNDMENT,YES,,EXCELLENT,,,UNKNOWN,,RESERVOIR,,,,,,,,,N,,SPARSE,RARE,RARE,H,L,,M,,,,HIGH,NONE,,,ARTIFICIAL,NO,,NO,4,RARE,SPARSE,SPARSE,EXTENSIVE,RARE,SPARSE,MODERATE,SPARSE,,,M,L,,,L,EXCELLENT,M,,,L,L,L,L,,Y,,GOOD,,MESOTROPHIC,,ABSENT
10/16/2023,2020600,NLA22_AL-10020,6/23/2022,1,AL,NLA,2022,CORE,NLA_AL-10069,CHAB,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2023,2020601,NLA22_KS-10072,6/24/2022,1,KS,NLA,2022,CORE,NLA_KS-10148,ASSESS,,,,,,,,,Y,3,EXCAVATION,YES,,EXCELLENT,,,,,DRAINAGE,,,,,,,,,N,,SPARSE,RARE,RARE,M,,L,,,,,HIGH,RESTRICTED,,,NONE,NO,,UNKNOWN,3,RARE,SPARSE,SPARSE,SPARSE,MODERATE,RARE,SPARSE,SPARSE,,,L,L,,L,L,EXCELLENT,,,,,,,,,Y,,GOOD,,EUTROPHIC,,ABSENT
10/16/2023,2020601,NLA22_KS-10072,6/24/2022,1,KS,NLA,2022,CORE,NLA_KS-10148,CHAB,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2023,2020602,NLA22_MT-10055,6/23/2022,1,MT,NLA,2022,CORE,NLA_MT-10208,ASSESS,,,,M,,,,,Y,3,IMPOUNDMENT,YES,,FAIR,,,NO,,RESERVOIR,,,,,,,,,Y,0.5,ABSENT,RARE,RARE,,,,,,,,NONE,NONE,,,ARTIFICIAL,NO,,UNKNOWN,3,RARE,MODERATE,RARE,RARE,MODERATE,RARE,SPARSE,SPARSE,,,,,,,L,FAIR,,,,,,,L,,,,UNSWIMMABLE,,MESOTROPHIC,,ABSENT
10/16/2023,2020602,NLA22_MT-10055,6/23/2022,1,MT,NLA,2022,CORE,NLA_MT-10208,CHAB,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2023,2020603,NLA22_MT-10077,6/23/2022,1,MT,NLA,2022,CORE,NLA_MT-10230,ASSESS,,,,M,,,,L,Y,3,IMPOUNDMENT,YES,,FAIR,,,YES,,RESERVOIR,,,,,,,,,Y,0.7,SPARSE,SPARSE,SPARSE,,,,,,,,NONE,NONE,,,ARTIFICIAL,NO,,UNKNOWN,3,RARE,MODERATE,RARE,RARE,EXTENSIVE,SPARSE,SPARSE,SPARSE,,,,,,,,FAIR,,,,,L,,L,,,,UNSWIMMABLE,,MESOTROPHIC,,ABSENT
10/16/2023,2020603,NLA22_MT-10077,6/23/2022,1,MT,NLA,2022,CORE,NLA_MT-10230,CHAB,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2023,2020604,NLA22_SD-10095,6/26/2022,1,SD,NLA,2022,CORE,NLA_SD-10281,ASSESS,,L,,,,,,,Y,5,,NO,,GOOD,,,,,SEEPAGE,,,,,,,,,N,,HIGH,SPARSE,MODERATE,L,,,,,,,NONE,NONE,,,NONE,NO,,YES,3,RARE,RARE,RARE,SPARSE,SPARSE,RARE,RARE,EXTENSIVE,,,L,,,,,POOR,,,,,,L,L,,Y,,FAIR,,EUTROPHIC,,ABSENT
10/16/2023,2020604,NLA22_SD-10095,6/26/2022,1,SD,NLA,2022,CORE,NLA_SD-10281,CHAB,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2023,2020605,NLA22_NH-10005,6/27/2022,1,NH,NLA,2022,CORE,NLA_NH-10048,ASSESS,,,,,,,,,Y,5,,NO,,EXCELLENT,,,,,DRAINAGE,,,,,,,,,N,,SPARSE,SPARSE,SPARSE,L,,,,,,,LOW,RESTRICTED,,,NONE,NO,,YES,5,RARE,RARE,SPARSE,EXTENSIVE,SPARSE,RARE,SPARSE,SPARSE,,,L,L,,L,,EXCELLENT,,,,L,,L,,,Y,,GOOD,,OLIGOTROPHIC,,ABSENT
10/16/2023,2020605,NLA22_NH-10005,6/27/2022,1,NH,NLA,2022,CORE,NLA_NH-10048,CHAB,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2023,2020606,NLA22_NY-10045,6/27/2022,1,NY,NLA,2022,CORE,NLA_NY-10081,ASSESS,,,,,,,,,Y,5,,NO,,EXCELLENT,,,,,DRAINAGE,,,,,,,,,N,,SPARSE,RARE,RARE,,,,,,,,NONE,BANNED,,,NATURAL,NO,,YES,5,RARE,RARE,RARE,EXTENSIVE,SPARSE,RARE,SPARSE,SPARSE,,,,,,,,EXCELLENT,,,,,,,,,Y,,GOOD,,OLIGOTROPHIC,OTHER,PRESENT
10/16/2023,2020606,NLA22_NY-10045,6/27/2022,1,NY,NLA,2022,CORE,NLA_NY-10081,CHAB,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2023,2020607,NLA22_ND-10003,6/27/2022,2,ND,NLA,2022,CORE,NLA_ND-10145,ASSESS,,L,,L,,L,,,Y,3,,NO,,FAIR,,,,,SEEPAGE,,,,,,,,,N,,SPARSE,SPARSE,RARE,,,,,,,,NONE,BANNED,,,NONE,NO,,YES,3,RARE,RARE,RARE,RARE,EXTENSIVE,RARE,MODERATE,RARE,,,,,,L,L,FAIR,,,,L,,L,L,,Y,,FAIR,,EUTROPHIC,,ABSENT
10/16/2023,2020607,NLA22_ND-10003,6/27/2022,2,ND,NLA,2022,CORE,NLA_ND-10145,CHAB,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2023,2020609,NLA22_IN-10027,7/8/2022,1,IN,NLA,2022,CORE,NLA_IN-10165,ASSESS,,L,,,,,L,,,3,IMPOUNDMENT,YES,,GOOD,,,NO,,RESERVOIR,,,,,,,,,N,,MODERATE,MODERATE,MODERATE,,,,L,,,,LOW,NONE,,,ARTIFICIAL,NO,,NO,3,SPARSE,RARE,SPARSE,SPARSE,EXTENSIVE,SPARSE,RARE,RARE,,,,,,,L,GOOD,,,,H,L,L,M,,Y,,FAIR,,MESOTROPHIC,,ABSENT
10/16/2023,2020609,NLA22_IN-10027,7/8/2022,1,IN,NLA,2022,CORE,NLA_IN-10165,CHAB,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2023,2020610,NLA22_IN-10014,7/19/2022,1,IN,NLA,2022,CORE,NLA_IN-10273,ASSESS,,L,,,,,,,Y,4,,NO,,GOOD,,,,,DRAINAGE,,,,,,,,,N,,MODERATE,MODERATE,SPARSE,,,,,,,,LOW,NONE,,,NONE,NO,,YES,4,RARE,RARE,SPARSE,MODERATE,SPARSE,SPARSE,MODERATE,SPARSE,,,,,,,,EXCELLENT,,,,L,,L,L,,Y,,GOOD,,EUTROPHIC,,ABSENT
10/16/2023,2020610,NLA22_IN-10014,7/19/2022,1,IN,NLA,2022,CORE,NLA_IN-10273,CHAB,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2023,2020611,NLA22_WY-10004,6/27/2022,2,WY,NLA,2022,CORE,NLA_WY-10102,ASSESS,,,,,,L,,,Y,4,IMPOUNDMENT,YES,,EXCELLENT,,,,,RESERVOIR,,,,,,,,,Y,1,HIGH,SPARSE,MODERATE,,,,,,,,NONE,NONE,,,NATURAL,NO,,NO,4,RARE,RARE,RARE,MODERATE,MODERATE,SPARSE,MODERATE,SPARSE,,,,,,,,EXCELLENT,,,,,,L,L,,Y,,GOOD,,EUTROPHIC,,ABSENT
10/16/2023,2020611,NLA22_WY-10004,6/27/2022,2,WY,NLA,2022,CORE,NLA_WY-10102,CHAB,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2023,2020612,NLA22_MT-10049,6/27/2022,1,MT,NLA,2022,CORE,NLA_MT-10202,ASSESS,,,,M,,,,L,Y,3,IMPOUNDMENT,YES,,FAIR,,,NO,,RESERVOIR,,,,,,,,,Y,0.6,SPARSE,RARE,SPARSE,,,L,,,,,NONE,NONE,,,ARTIFICIAL,NO,,UNKNOWN,3,RARE,MODERATE,RARE,RARE,EXTENSIVE,SPARSE,RARE,RARE,,,,,,,L,FAIR,,,,,,L,L,,,,UNSWIMMABLE,,EUTROPHIC,,ABSENT
10/16/2023,2020612,NLA22_MT-10049,6/27/2022,1,MT,NLA,2022,CORE,NLA_MT-10202,CHAB,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2023,2020613,NLA22_CA-10045,6/27/2022,1,CA,NLA,2022,CORE,NLA_CA-10242,ASSESS,,,,,,,,,Y,3,UNKNOWN,YES,,FAIR,,,NO,,RESERVOIR,,,,,,,,,N,,HIGH,MODERATE,SPARSE,,,,,,,,NONE,RESTRICTED,,,ARTIFICIAL,NO,,NO,3,RARE,SPARSE,MODERATE,RARE,MODERATE,SPARSE,MODERATE,RARE,,,,,,,L,POOR,,,,,,L,M,,Y,,UNSWIMMABLE,,EUTROPHIC,,ABSENT
10/16/2023,2020613,NLA22_CA-10045,6/27/2022,1,CA,NLA,2022,CORE,NLA_CA-10242,CHAB,,,,,,,,,,,,,,,BLOOMWATCH,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,
10/16/2023,2020614,NLA22_MI-10016,6/27/2022,1,MI,NLA,2022,CORE,NLA_MI-10236,ASSESS,,,,,,,,,Y,5,,NO,,EXCELLENT,,,,,DRAINAGE,,,,,,,,,N,,HIGH,SPARSE,MODERATE,L,,,,,,,NONE,BANNED,,,NONE,NO,,YES,5,RARE,RARE,RARE,EXTENSIVE,SPARSE,RARE,MODERATE,MODERATE,,,,,,L,L,EXCELLENT,,,,,,L,L,,Y,,FAIR,,EUTROPHIC,,ABSENT
10/16/2023,2020614,NLA22_MI-10016,6/27/2022,1,MI,NLA,2022,CORE,NLA_MI-10236,CHAB,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2023,2020615,NLA22_LA-10409,6/27/2022,1,LA,NLA,2022,CORE,NLA_LA-10545,ASSESS,,,,,,,,,Y,5,IMPOUNDMENT,YES,,GOOD,,,UNKNOWN,,RESERVOIR,,,,,,,,,N,,SPARSE,RARE,SPARSE,M,,,L,,,,LOW,RESTRICTED,,,ARTIFICIAL,NO,,NO,3,RARE,SPARSE,EXTENSIVE,SPARSE,EXTENSIVE,MODERATE,SPARSE,RARE,,,,,,,L,GOOD,,L,,H,M,H,L,,Y,,GOOD,,OLIGOTROPHIC,IRRIGATION,PRESENT
10/16/2023,2020615,NLA22_LA-10409,6/27/2022,1,LA,NLA,2022,CORE,NLA_LA-10545,CHAB,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2023,2020616,NLA22_LA-10448,6/26/2022,1,LA,NLA,2022,CORE,NLA_LA-10584,ASSESS,,,,,,,,,Y,4,IMPOUNDMENT,YES,,GOOD,,,YES,,DRAINAGE,,,,,,,M,,N,,MODERATE,SPARSE,MODERATE,L,,,,,,,LOW,NONE,,,ARTIFICIAL,NO,,NO,3,RARE,SPARSE,RARE,EXTENSIVE,MODERATE,RARE,MODERATE,SPARSE,L,,,,,,L,FAIR,,,,L,,,L,,Y,,FAIR,,MESOTROPHIC,,ABSENT
10/16/2023,2020616,NLA22_LA-10448,6/26/2022,1,LA,NLA,2022,CORE,NLA_LA-10584,CHAB,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2023,2020617,NLA22_UT-10019,6/27/2022,1,UT,NLA,2022,CORE,NLA_UT-10350,ASSESS,,,,,,,,L,Y,3,IMPOUNDMENT,YES,,GOOD,,,NO,,RESERVOIR,,,,,,,,,N,,MODERATE,SPARSE,MODERATE,H,,H,L,,,,NONE,RESTRICTED,,,ARTIFICIAL,NO,,UNKNOWN,3,RARE,SPARSE,RARE,RARE,EXTENSIVE,SPARSE,SPARSE,SPARSE,L,,L,L,,L,L,GOOD,,,,,,L,M,,Y,,FAIR,,MESOTROPHIC,,ABSENT
10/16/2023,2020617,NLA22_UT-10019,6/27/2022,1,UT,NLA,2022,CORE,NLA_UT-10350,CHAB,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2023,2020618,NLA22_ME-10018,6/27/2022,1,ME,NLA,2022,CORE,NLA_ME-10077,ASSESS,,,,,,,,,Y,5,,UNKNOWN,,EXCELLENT,,,,,DRAINAGE,,,,,,,,,Y,1,SPARSE,SPARSE,SPARSE,,,,,,,,NONE,NONE,,,NONE,NO,,UNKNOWN,5,RARE,RARE,RARE,EXTENSIVE,RARE,RARE,MODERATE,SPARSE,,,,,,,,GOOD,,,,,,L,L,,Y,,FAIR,,MESOTROPHIC,,ABSENT
10/16/2023,2020618,NLA22_ME-10018,6/27/2022,1,ME,NLA,2022,CORE,NLA_ME-10077,CHAB,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2023,2020619,NLA22_OK-10069,6/27/2022,1,OK,NLA,2022,CORE,NLA_OK-10180,ASSESS,,,,,,,,,Y,3,IMPOUNDMENT,YES,,GOOD,,,,,RESERVOIR,,,,,,,,,N,,SPARSE,SPARSE,RARE,L,,L,,,,,NONE,BANNED,,,NONE,NO,,NO,3,RARE,RARE,RARE,EXTENSIVE,RARE,RARE,SPARSE,SPARSE,,,L,,,L,L,GOOD,,,L,,,L,L,,Y,,FAIR,,EUTROPHIC,WATER_SUPPLY,PRESENT
10/16/2023,2020619,NLA22_OK-10069,6/27/2022,1,OK,NLA,2022,CORE,NLA_OK-10180,CHAB,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2023,2020620,NLA22_IN-10043,6/28/2022,1,IN,NLA,2022,CORE,NLA_IN-10180,ASSESS,,,,,,,,,Y,2,,NO,,GOOD,,,,,DRAINAGE,,,,,,,,,Y,0.2,HIGH,MODERATE,MODERATE,,,,,,,,HIGH,RESTRICTED,,,NONE,NO,,YES,3,RARE,RARE,MODERATE,SPARSE,MODERATE,SPARSE,SPARSE,MODERATE,L,,,,,,L,GOOD,,M,,H,M,H,L,,,,UNSWIMMABLE,,EUTROPHIC,,ABSENT
10/16/2023,2020620,NLA22_IN-10043,6/28/2022,1,IN,NLA,2022,CORE,NLA_IN-10180,CHAB,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2023,2020621,NLA22_NY-10038,6/28/2022,1,NY,NLA,2022,CORE,NLA_NY-10074,ASSESS,,,,,,,,,Y,5,,NO,,EXCELLENT,,,,,DRAINAGE,,,,,,,,,N,,SPARSE,SPARSE,SPARSE,,,,,,,,NONE,BANNED,,,NATURAL,NO,,YES,4,RARE,RARE,RARE,EXTENSIVE,RARE,RARE,SPARSE,SPARSE,,,L,L,,,,EXCELLENT,,,,,,L,,,Y,,GOOD,,OLIGOTROPHIC,,ABSENT
10/16/2023,2020621,NLA22_NY-10038,6/28/2022,1,NY,NLA,2022,CORE,NLA_NY-10074,CHAB,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
