UID,PUBLICATION_DATE,SITE_ID,DATE_COL,VISIT_NO,STUDY,STATE,SAMPLE_TYPE,FLAG,AGR_CROPLAND,AGR_FEEDLOT,AGR_LIVESTOCK,AGR_ORCHARDS,AGR_PASTURE,AGR_POULTRY,AGR_WITHDRAWAL,APPEALING,BIOTIC_INTEGRITY,FLIGHT_HAZARDS,HYDRO_TYPE,IND_COMMERCIAL,IND_FIRE,IND_INDUSTRIAL,IND_LOGGING,IND_MINES,IND_ODORS,IND_OIL,IND_POWER,LAKE_LEVEL,LEVEL_CHANGE_M,MACRY_DENSITY,MACRY_FLOAT,MACRY_SUBMERGED,MAN_ANGLING,MAN_DRINKING_WATER,MAN_FISH_STOCKING,MAN_LEVEL_FLUCTUATIONS,MAN_LIMING,MAN_MACROPHYTE,MAN_TREATMENT,MBOAT_DENSITY,MBOAT_RESTRICT,OUTLET_DAMS,PRISTINE,RCH_AGRICULTURE,RCH_BARE_GROUND,RCH_DEVELOPMENT,RCH_FOREST,RCH_GRASS,RCH_SHOREMODS,RCH_SHRUB,RCH_WETLAND,REC_FILMS,REC_MARINAS,REC_PARKS,REC_PRIMITIVE,REC_RESORTS,REC_TRAILS,REC_TRASH,RECREATIONAL_VALUE,RES_BRIDGES,RES_CONSTRUCTION,RES_DUMPING,RES_LAWNS,RES_PIPES,RES_RESIDENCES,RES_ROADS,RES_SEWAGE,REVIEW,SWIMMABILITY,TROPHIC_STATE
2010510,4/26/2021,NLA17_ND-10009,18-Jul-17,1,NLA,ND,ASSESS,,L,,,,L,,,3,FAIR,N,SEEPAGE,,,,,,,M,,,,MODERATE,MODERATE,SPARSE,,,,,,,,,,NONE,3,,,,,EXTENSIVE,,,RARE,,,,,,,L,POOR,,,,,,,M,,,FAIR,EUTROPHIC
2010511,4/26/2021,NLA17_NE-10011,18-Jul-17,1,NLA,NE,ASSESS,,L,L,M,L,H,L,L,4,GOOD,,SEEPAGE,L,L,L,L,L,L,L,L,N,,SPARSE,MODERATE,RARE,L,L,L,L,L,L,L,LOW,RESTRICTED,NONE,4,RARE,RARE,RARE,RARE,MODERATE,RARE,RARE,EXTENSIVE,L,L,L,L,L,L,L,GOOD,L,L,L,L,L,L,L,L,,UNSWIMMABLE,EUTROPHIC
2010512,4/26/2021,NLA17_MI-10101,17-Jul-17,1,NLA,MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010513,4/26/2021,NLA17_ME-10042,17-Jul-17,1,NLA,ME,ASSESS,,,,,,,,,3,EXCELLENT,Y,DRAINAGE,,,,,,,,,N,,HIGH,EXTENSIVE,MODERATE,L,,,,,,,LOW,,ARTIFICIAL,4,RARE,RARE,RARE,MODERATE,MODERATE,RARE,MODERATE,EXTENSIVE,L,,,,,,,FAIR,,,,,,L,,,,FAIR,MESOTROPHIC
2010514,4/26/2021,NLA17_OK-10050,18-Jul-17,1,NLA,OK,ASSESS,,,,M,,M,,,3,GOOD,,RESERVOIR,,,,,,,,,N,,HIGH,MODERATE,EXTENSIVE,,,M,,,,,LOW,,ARTIFICIAL,3,SPARSE,RARE,SPARSE,MODERATE,SPARSE,SPARSE,MODERATE,RARE,M,,,,,,,GOOD,,,,L,,L,L,,,FAIR,EUTROPHIC
2010515,4/26/2021,NLA17_ND-10070,19-Jul-17,1,NLA,ND,ASSESS,,H,,,,,,,2,FAIR,N,SEEPAGE,,,,,,,,,N,,MODERATE,SPARSE,MODERATE,,,,,,,,LOW,NONE,NONE,2,MODERATE,SPARSE,RARE,RARE,MODERATE,SPARSE,SPARSE,SPARSE,L,,,,,,L,FAIR,,L,,L,,L,L,,,FAIR,HYPEREUTROPHIC
2010516,4/26/2021,NLA17_OK-10010,18-Jul-17,1,NLA,OK,ASSESS,,,,,,,,,4,GOOD,,RESERVOIR,,,,,,,,,N,,MODERATE,SPARSE,RARE,,,,L,,,,HIGH,,ARTIFICIAL,4,RARE,SPARSE,MODERATE,MODERATE,MODERATE,MODERATE,SPARSE,SPARSE,L,,,,,,M,GOOD,,,,,,,L,,,GOOD,EUTROPHIC
2010517,4/26/2021,NLA17_TX-10021,18-Jul-17,1,NLA,TX,ASSESS,,,,L,,,,L,3,GOOD,,RESERVOIR,,,L,,,M,H,,Y,2,MODERATE,RARE,MODERATE,L,,M,M,,,,LOW,,ARTIFICIAL,4,RARE,MODERATE,RARE,RARE,RARE,RARE,MODERATE,RARE,,,L,,,,,GOOD,,,,,,L,L,,,GOOD,MESOTROPHIC
2010518,4/26/2021,NLA17_IN-10077,19-Jul-17,1,NLA,IN,ASSESS,,,,,,,,,2,FAIR,,DRAINAGE,,,,,,,,,N,,ABSENT,RARE,RARE,,,,,,,M,LOW,RESTRICTED,NONE,2,RARE,SPARSE,MODERATE,RARE,EXTENSIVE,MODERATE,SPARSE,RARE,,,,,,,,POOR,,L,,H,L,H,M,,,UNSWIMMABLE,MESOTROPHIC
2010519,4/26/2021,NLA17_RI-10008,19-Jul-17,1,NLA,RI,ASSESS,,,,,,,,,2,POOR,,RESERVOIR,H,,L,,,,,,N,,HIGH,SPARSE,EXTENSIVE,H,,,,,,,,,ARTIFICIAL,2,RARE,SPARSE,EXTENSIVE,RARE,RARE,SPARSE,MODERATE,MODERATE,,,,,,L,H,FAIR,M,H,L,H,M,H,H,M,,UNSWIMMABLE,EUTROPHIC
2010520,4/26/2021,NLA17_ID-10088,19-Jul-17,1,NLA,ID,ASSESS,,M,,,,L,,L,3,GOOD,,RESERVOIR,,,,,,,,,,,MODERATE,RARE,MODERATE,L,,,,,,,,BANNED,ARTIFICIAL,3,RARE,RARE,RARE,MODERATE,EXTENSIVE,RARE,RARE,MODERATE,L,,,M,,,L,GOOD,,,,,L,,M,,,FAIR,MESOTROPHIC
2010521,4/26/2021,NLA17_LA-10046,19-Jul-17,1,NLA,LA,ASSESS,,,,,,,,,3,FAIR,,SEEPAGE,,,,,,,,,N,,SPARSE,SPARSE,RARE,L,,,L,,,,,BANNED,NONE,3,RARE,RARE,SPARSE,EXTENSIVE,SPARSE,RARE,SPARSE,RARE,,,M,L,,L,L,FAIR,,,,M,,,M,,Y,UNSWIMMABLE,EUTROPHIC
2010522,4/26/2021,NLA17_WI-10111,19-Jul-17,1,NLA,WI,ASSESS,,,,,,,,,3,GOOD,Y,SEEPAGE,,,,,,,,,N,,HIGH,MODERATE,MODERATE,L,,,,,,,,,NONE,4,,RARE,,EXTENSIVE,RARE,RARE,SPARSE,SPARSE,L,,,,,,,GOOD,,,,L,,L,L,,,FAIR,MESOTROPHIC
2010523,4/26/2021,NLA17_CO-HP002,18-Jul-17,1,NLA,CO,ASSESS,,,,,,,,,5,EXCELLENT,,DRAINAGE,,H,,,,,,,N,,MODERATE,RARE,MODERATE,L,,,,,,,,BANNED,NONE,5,,RARE,,SPARSE,MODERATE,,MODERATE,RARE,,,L,L,,M,,EXCELLENT,,,,,,,,,,GOOD,OLIGOTROPHIC
2010524,4/26/2021,NLA17_CO-10010,18-Jul-17,1,NLA,CO,ASSESS,,,,,,,,,5,EXCELLENT,Y,RESERVOIR,,,,,,,,,N,,SPARSE,,SPARSE,L,,,,,,,,RESTRICTED,ARTIFICIAL,5,,MODERATE,,MODERATE,SPARSE,RARE,SPARSE,RARE,,,,H,,,L,EXCELLENT,,,,,,,,,,GOOD,MESOTROPHIC
2010525,4/26/2021,NLA17_ND-10013,19-Jul-17,1,NLA,ND,ASSESS,,H,,,,,,,2,POOR,N,SEEPAGE,,,,,,,L,,,,MODERATE,MODERATE,SPARSE,,,,,,,,,,NONE,2,EXTENSIVE,,,,RARE,,,RARE,,,,,,,L,POOR,,,,,,,H,,,FAIR,HYPEREUTROPHIC
2010526,4/26/2021,NLA17_ND-10069,19-Jul-17,1,NLA,ND,ASSESS,,L,,,,L,,,3,POOR,N,SEEPAGE,,,,,,,,,,,HIGH,SPARSE,EXTENSIVE,,,,,,,,,,NONE,3,,,,,EXTENSIVE,,,SPARSE,,,,,,,,POOR,,,,,,,L,,,FAIR,EUTROPHIC
2010527,4/26/2021,NLA17_NE-10012,18-Jul-17,1,NLA,NE,ASSESS,,,,,,,,,4,GOOD,,SEEPAGE,,,,,,,,,N,,SPARSE,RARE,RARE,L,,L,,,,,LOW,RESTRICTED,NONE,4,,EXTENSIVE,EXTENSIVE,,RARE,EXTENSIVE,RARE,,,,,,,,,GOOD,M,H,,L,H,M,L,,,GOOD,EUTROPHIC
2010528,4/26/2021,NLA17_OK-10004,19-Jul-17,1,NLA,OK,ASSESS,,,,L,,L,,,5,GOOD,,RESERVOIR,,,,,,,,,N,,SPARSE,RARE,RARE,L,,,,,,,LOW,,ARTIFICIAL,4,RARE,RARE,SPARSE,MODERATE,MODERATE,RARE,RARE,RARE,,,L,L,,L,L,EXCELLENT,L,M,M,M,M,M,L,L,,GOOD,EUTROPHIC
2010529,4/26/2021,NLA17_NE-10014,19-Jul-17,1,NLA,NE,ASSESS,,L,L,M,L,H,L,L,4,GOOD,,SEEPAGE,L,L,L,L,L,L,L,L,N,,HIGH,RARE,SPARSE,L,L,L,L,L,L,L,LOW,,NONE,4,RARE,RARE,RARE,RARE,MODERATE,RARE,RARE,EXTENSIVE,L,L,L,L,L,L,L,GOOD,L,L,L,L,L,L,L,L,,FAIR,MESOTROPHIC
2010530,4/26/2021,NLA17_NE-10038,19-Jul-17,1,NLA,NE,ASSESS,,,,,,,,,2,FAIR,,SEEPAGE,L,,,,,,,,N,,SPARSE,RARE,RARE,,,L,,,L,,HIGH,,NONE,2,,MODERATE,EXTENSIVE,,RARE,EXTENSIVE,,,,L,,,,,L,FAIR,,L,,H,H,H,H,L,,FAIR,HYPEREUTROPHIC
2010531,4/26/2021,NLA17_OR-10063,18-Jul-17,1,NLA,OR,ASSESS,,,,,,,,,5,EXCELLENT,,SEEPAGE,,,,,,,,,N,,SPARSE,RARE,RARE,,,,,,,,,,NONE,5,,SPARSE,,MODERATE,SPARSE,,MODERATE,SPARSE,,,,L,,L,,EXCELLENT,,,,,,,,,,GOOD,MESOTROPHIC
2010532,4/26/2021,NLA17_CA-10002,18-Jul-17,1,NLA,CA,ASSESS,,,,,,,,,5,EXCELLENT,,RESERVOIR,,,,,,,,,,,ABSENT,RARE,RARE,,,M,,,,,LOW,,ARTIFICIAL,5,RARE,MODERATE,RARE,EXTENSIVE,RARE,RARE,SPARSE,RARE,,,M,,,M,,EXCELLENT,L,,,,,,L,,,GOOD,OLIGOTROPHIC
2010533,4/26/2021,NLA17_CA-10009,19-Jul-17,1,NLA,CA,ASSESS,,,,,,,,,4,EXCELLENT,,RESERVOIR,,,,,L,,,,,,ABSENT,RARE,RARE,M,,M,,,,,HIGH,,ARTIFICIAL,4,RARE,MODERATE,SPARSE,MODERATE,EXTENSIVE,SPARSE,MODERATE,RARE,,L,M,L,L,L,,EXCELLENT,L,,,,,,L,,,GOOD,MESOTROPHIC
2010534,4/26/2021,NLA17_OH-10024,20-Jul-17,1,NLA,OH,ASSESS,,,,,,,,,3,GOOD,,RESERVOIR,,,,,,,,,N,,MODERATE,SPARSE,MODERATE,,,,,,,,LOW,,ARTIFICIAL,3,,RARE,,MODERATE,SPARSE,SPARSE,MODERATE,RARE,,,,,,L,L,GOOD,L,,,L,L,,L,,,UNSWIMMABLE,HYPEREUTROPHIC
2010535,4/26/2021,NLA17_ND-10100,20-Jul-17,1,NLA,ND,ASSESS,,L,,L,,M,,,3,FAIR,N,SEEPAGE,,,,,,,M,,,,MODERATE,,MODERATE,,,,,,,,,,NONE,3,,,,,EXTENSIVE,RARE,RARE,RARE,L,,,,,,,POOR,,,,,L,,M,,,FAIR,HYPEREUTROPHIC
2010536,4/26/2021,NLA17_AR-10001,20-Jul-17,2,NLA,AR,ASSESS,,,,,,,,,4,GOOD,,RESERVOIR,,,,,,,,,N,,SPARSE,SPARSE,RARE,L,,,,L,,,LOW,RESTRICTED,NONE,4,,,RARE,EXTENSIVE,SPARSE,RARE,RARE,MODERATE,L,,L,,,,,GOOD,L,,,L,,L,L,,,GOOD,MESOTROPHIC
2010537,4/26/2021,NLA17_MN-10002,20-Jul-17,1,NLA,MN,ASSESS,,M,,,,,,L,2,POOR,,DRAINAGE,,,,,,,,,N,,SPARSE,SPARSE,SPARSE,L,,,,,,,LOW,,NONE,2,RARE,RARE,RARE,SPARSE,RARE,RARE,SPARSE,EXTENSIVE,L,,,,,,,FAIR,L,M,,L,,L,M,,,FAIR,HYPEREUTROPHIC
2010538,4/26/2021,NLA17_WI-10027,20-Jul-17,1,NLA,WI,ASSESS,,,,,,,,,3,GOOD,Y,DRAINAGE,,,,,,,,,N,,HIGH,MODERATE,MODERATE,,,,,,,,,,NATURAL,4,,RARE,,EXTENSIVE,SPARSE,,SPARSE,MODERATE,L,,,,,,,GOOD,,,,,,,,,,FAIR,MESOTROPHIC
2010539,4/26/2021,NLA17_CO-10038,20-Jul-17,1,NLA,CO,ASSESS,,,,,,,,,4,GOOD,,DRAINAGE,,,,,,,,,Y,0.2,SPARSE,RARE,RARE,,,L,L,,,,,BANNED,NATURAL,4,,RARE,,MODERATE,MODERATE,,MODERATE,SPARSE,,,M,L,,H,L,GOOD,,,,,,,,,,FAIR,MESOTROPHIC
2010540,4/26/2021,NLA17_ND-10089,20-Jul-17,1,NLA,ND,ASSESS,,H,L,L,,L,,,2,FAIR,N,SEEPAGE,,,,,,,,,Y,0.2,HIGH,MODERATE,EXTENSIVE,,,,L,,,,LOW,NONE,NONE,2,MODERATE,MODERATE,RARE,RARE,SPARSE,RARE,SPARSE,MODERATE,L,,,,,,L,POOR,,,,L,,L,M,,,UNSWIMMABLE,HYPEREUTROPHIC
2010541,4/26/2021,NLA17_IA-10031,20-Jul-17,1,NLA,IA,ASSESS,,H,,H,,H,,,3,GOOD,,RESERVOIR,,,,,,,,,N,,SPARSE,SPARSE,SPARSE,,,,,,,,,,ARTIFICIAL,3,RARE,MODERATE,RARE,SPARSE,MODERATE,RARE,SPARSE,RARE,L,,,,,,L,FAIR,,,,L,M,L,L,,,UNSWIMMABLE,EUTROPHIC
2010542,4/26/2021,NLA17_NE-10025,20-Jul-17,1,NLA,NE,ASSESS,,L,L,M,L,M,L,L,4,GOOD,,SEEPAGE,L,L,L,L,L,L,L,L,N,,SPARSE,RARE,SPARSE,L,L,L,L,L,L,L,LOW,,NONE,4,RARE,SPARSE,RARE,RARE,MODERATE,RARE,RARE,EXTENSIVE,L,L,L,L,L,L,L,GOOD,L,L,L,L,L,L,L,L,,FAIR,MESOTROPHIC
2010543,4/26/2021,NLA17_MN-10026,19-Jul-17,1,NLA,MN,ASSESS,,L,,,,,,,3,FAIR,,SEEPAGE,,,,,,,,,N,,SPARSE,SPARSE,SPARSE,,,,,,,,HIGH,,NONE,3,SPARSE,RARE,MODERATE,SPARSE,EXTENSIVE,MODERATE,RARE,RARE,,,L,,,,,FAIR,,,,M,,M,L,,,FAIR,EUTROPHIC
2010544,4/26/2021,NLA17_OR-10079,20-Jul-17,1,NLA,OR,ASSESS,,,,,,,,,5,EXCELLENT,,SEEPAGE,,M,,,,,,,N,,SPARSE,,,,,,,,,,,,NONE,5,,SPARSE,,MODERATE,SPARSE,,MODERATE,SPARSE,,,,L,,L,,EXCELLENT,,,,,,,,,,GOOD,MESOTROPHIC
2010545,4/26/2021,NLA17_TX-10020,20-Jul-17,1,NLA,TX,ASSESS,,,,L,,,,M,4,GOOD,,RESERVOIR,,,,,,M,H,,Y,4,SPARSE,RARE,RARE,M,,M,M,,,,LOW,,ARTIFICIAL,4,RARE,MODERATE,SPARSE,RARE,SPARSE,RARE,SPARSE,MODERATE,L,,L,,,,L,GOOD,,,,,,M,,,,FAIR,MESOTROPHIC
2010546,4/26/2021,NLA17_TX-10022,20-Jul-17,1,NLA,TX,ASSESS,,,,L,,M,,L,4,GOOD,,RESERVOIR,,,,,,,L,L,Y,0.5,SPARSE,SPARSE,SPARSE,L,,,L,,,,LOW,,ARTIFICIAL,3,RARE,SPARSE,MODERATE,RARE,MODERATE,SPARSE,RARE,SPARSE,,L,L,L,,,L,GOOD,L,,,L,L,M,L,,,GOOD,MESOTROPHIC
2010547,4/26/2021,NLA17_MT-10014,20-Jul-17,1,NLA,MT,ASSESS,,,,,,L,,L,5,EXCELLENT,,RESERVOIR,,,,,,,,,,,SPARSE,SPARSE,SPARSE,L,,,M,,,,LOW,,ARTIFICIAL,2,,MODERATE,,EXTENSIVE,,RARE,SPARSE,SPARSE,,,,L,,L,L,EXCELLENT,L,,,,,,L,,,GOOD,OLIGOTROPHIC
2010548,4/26/2021,NLA17_MO-10015,20-Jul-17,1,NLA,MO,ASSESS,,,,,,M,,,3,FAIR,,DRAINAGE,,,,,,,,,N,,ABSENT,,,,,,,,,,,,ARTIFICIAL,3,,SPARSE,SPARSE,EXTENSIVE,SPARSE,SPARSE,MODERATE,,,,,,,,,FAIR,,,,L,L,L,L,,,FAIR,EUTROPHIC
2010549,4/26/2021,NLA17_MN-10005,17-Jul-17,1,NLA,MN,ASSESS,,,,,,,,,5,EXCELLENT,,DRAINAGE,,,,,,,,,N,,MODERATE,SPARSE,MODERATE,L,,,L,,,,LOW,,NONE,5,RARE,RARE,RARE,MODERATE,SPARSE,RARE,MODERATE,SPARSE,,,,,,,,EXCELLENT,,,,L,,L,L,,,GOOD,MESOTROPHIC
2010550,4/26/2021,NLA17_MN-10189,19-Jul-17,1,NLA,MN,ASSESS,,,,,,,,,5,EXCELLENT,,DRAINAGE,,,,,,,,,,,MODERATE,SPARSE,MODERATE,L,,,L,,,,LOW,,NATURAL,5,,RARE,RARE,EXTENSIVE,SPARSE,RARE,SPARSE,SPARSE,,,,,,,,EXCELLENT,,,,L,,L,L,,,GOOD,MESOTROPHIC
2010551,4/26/2021,NLA17_AR-HP001,20-Jul-17,1,NLA,AR,ASSESS,,,,,,,,,4,GOOD,,RESERVOIR,,,,,,,,,Y,0,SPARSE,RARE,RARE,L,,,L,,,,LOW,,ARTIFICIAL,4,RARE,RARE,RARE,MODERATE,MODERATE,RARE,MODERATE,RARE,L,,L,L,,L,L,EXCELLENT,,,,L,,L,L,,,GOOD,MESOTROPHIC
2010552,4/26/2021,NLA17_SD-10001,21-Jul-17,2,NLA,SD,ASSESS,,L,,L,,H,,,5,EXCELLENT,Y,RESERVOIR,,,,,,,,,,,,RARE,RARE,H,L,M,M,,,,HIGH,,ARTIFICIAL,5,SPARSE,RARE,RARE,,EXTENSIVE,RARE,RARE,,,L,L,,L,,,EXCELLENT,,,,,,L,L,,,GOOD,MESOTROPHIC
2010553,4/26/2021,NLA17_ND-10018,18-Jul-17,1,NLA,ND,ASSESS,,L,,,,L,,,2,FAIR,,SEEPAGE,,,,,,M,,,,,MODERATE,SPARSE,SPARSE,,,,,,,,,,NONE,3,SPARSE,SPARSE,SPARSE,MODERATE,MODERATE,RARE,MODERATE,MODERATE,L,,,,,,,FAIR,,,M,M,,M,M,,,UNSWIMMABLE,EUTROPHIC
2010554,4/26/2021,NLA17_CO-10003,21-Jul-17,1,NLA,CO,ASSESS,,,,,,,,,5,GOOD,,RESERVOIR,,,,,,,,,N,,ABSENT,RARE,RARE,M,,,,,,,LOW,RESTRICTED,ARTIFICIAL,4,,SPARSE,MODERATE,MODERATE,SPARSE,SPARSE,SPARSE,SPARSE,,,L,,,L,L,EXCELLENT,,,,,,M,L,,,GOOD,MESOTROPHIC
2010555,4/26/2021,NLA17_CO-10008,20-Jul-17,1,NLA,CO,ASSESS,,,,,,,,,3,FAIR,,RESERVOIR,,,,,,,,,N,,MODERATE,SPARSE,MODERATE,L,,,,,,,LOW,RESTRICTED,ARTIFICIAL,3,,SPARSE,MODERATE,MODERATE,MODERATE,SPARSE,SPARSE,SPARSE,,,,L,,L,L,GOOD,,,,L,,M,L,,,FAIR,EUTROPHIC
2010556,4/26/2021,NLA17_CO-10005,21-Jul-17,1,NLA,CO,ASSESS,,L,,,,,,,3,FAIR,,SEEPAGE,,,,,,,,,Y,0.1,SPARSE,RARE,RARE,M,M,L,L,,,,LOW,BANNED,NONE,2,RARE,SPARSE,MODERATE,RARE,RARE,MODERATE,RARE,SPARSE,,M,H,,,H,L,GOOD,,,,M,,M,M,,,FAIR,MESOTROPHIC
2010557,4/26/2021,NLA17_MI-10008,20-Jul-17,1,NLA,MI,ASSESS,,,,,,,,,5,GOOD,,DRAINAGE,,,,,,,,,N,,SPARSE,SPARSE,RARE,,,,,,,,LOW,,NONE,4,,RARE,RARE,EXTENSIVE,RARE,RARE,RARE,RARE,,,,,,,,GOOD,,,,L,,L,L,,,FAIR,MESOTROPHIC
2010558,4/26/2021,NLA17_MI-10028,21-Jul-17,1,NLA,MI,ASSESS,,,,,,,,,2,FAIR,,DRAINAGE,,,,,,,,,N,,HIGH,EXTENSIVE,RARE,,,,,,,,,RESTRICTED,NONE,3,,,,EXTENSIVE,RARE,,MODERATE,SPARSE,,,,,,,,POOR,,,,,,,L,,,UNSWIMMABLE,EUTROPHIC
2010559,4/26/2021,NLA17_IN-10136,21-Jul-17,1,NLA,IN,ASSESS,,,,,,,,,1,POOR,,RESERVOIR,,,,,,,,,,,ABSENT,,,,,,,,,,,,NONE,1,,,,,EXTENSIVE,SPARSE,SPARSE,,L,,H,,,,,POOR,,,,H,L,,M,,,UNSWIMMABLE,MESOTROPHIC
2010560,4/26/2021,NLA17_RI-10002,20-Jul-17,1,NLA,RI,ASSESS,,,,,,L,,,3,GOOD,,RESERVOIR,L,,,,,L,,,N,,MODERATE,SPARSE,MODERATE,H,,,,,,,LOW,,ARTIFICIAL,3,RARE,MODERATE,SPARSE,MODERATE,RARE,SPARSE,MODERATE,SPARSE,,,,,,M,M,GOOD,,L,L,M,,M,M,M,,FAIR,MESOTROPHIC
2010561,4/26/2021,NLA17_SD-10081,19-Jul-17,1,NLA,SD,ASSESS,,M,L,L,,H,,,4,GOOD,,SEEPAGE,L,,,,,,,,Y,1,MODERATE,RARE,RARE,H,,L,L,,,,LOW,,,3,MODERATE,RARE,RARE,RARE,EXTENSIVE,RARE,SPARSE,MODERATE,L,,,,L,,L,GOOD,L,L,L,L,L,L,L,L,,FAIR,EUTROPHIC
2010562,4/26/2021,NLA17_CO-10019,23-Jul-17,1,NLA,CO,ASSESS,,,,,,,,,4,GOOD,,DRAINAGE,,,,,,,,,N,,ABSENT,,,,,,L,,,,,BANNED,NATURAL,5,,RARE,,MODERATE,MODERATE,,SPARSE,RARE,,,,L,,,,FAIR,,,,,,,,,,GOOD,OLIGOTROPHIC
2010563,4/26/2021,NLA17_OH-10005,24-Jul-17,1,NLA,OH,ASSESS,,,,,,,,,5,GOOD,,RESERVOIR,,,,,,,,,N,,ABSENT,,,,,,,,,,HIGH,RESTRICTED,ARTIFICIAL,5,,SPARSE,EXTENSIVE,MODERATE,MODERATE,MODERATE,SPARSE,RARE,,L,L,,,,,GOOD,,,,M,,H,L,,,GOOD,MESOTROPHIC
2010564,4/26/2021,NLA17_MA-10001,24-Jul-17,1,NLA,MA,ASSESS,,,,,,,,,3,GOOD,,SEEPAGE,,,,,,,,,N,,SPARSE,RARE,RARE,L,,,,,,,LOW,RESTRICTED,NONE,2,RARE,RARE,SPARSE,MODERATE,SPARSE,RARE,SPARSE,RARE,,,,,,,L,FAIR,,,,L,,L,L,,,FAIR,EUTROPHIC
2010565,4/26/2021,NLA17_CO-10055,24-Jul-17,1,NLA,CO,ASSESS,,,,,,,,,4,EXCELLENT,,RESERVOIR,,,,,,,,,N,,MODERATE,MODERATE,SPARSE,,,,,,,,,RESTRICTED,ARTIFICIAL,4,,RARE,,EXTENSIVE,,SPARSE,RARE,RARE,,,,L,,L,L,FAIR,,,,,,,L,,,FAIR,MESOTROPHIC
2010567,4/26/2021,NLA17_ME-HP003,24-Jul-17,1,NLA,ME,ASSESS,,,,,,,,,4,GOOD,,DRAINAGE,,,,,,,,,,,SPARSE,RARE,RARE,,,,,,,,LOW,,NONE,4,,,RARE,EXTENSIVE,RARE,RARE,EXTENSIVE,SPARSE,,,,,,,,GOOD,,,,L,,L,M,,,GOOD,OLIGOTROPHIC
2010568,4/26/2021,NLA17_MN-10161,24-Jul-17,1,NLA,MN,ASSESS,,M,,,,L,,,1,POOR,,SEEPAGE,,,,,,,,,,,SPARSE,SPARSE,RARE,,,,,,,,LOW,,NONE,2,MODERATE,RARE,RARE,MODERATE,SPARSE,RARE,RARE,SPARSE,,,,,,,,POOR,,,,L,,L,L,,,UNSWIMMABLE,EUTROPHIC
2010569,4/26/2021,NLA17_SD-10035,24-Jul-17,1,NLA,SD,ASSESS,,,,M,,M,,,2,FAIR,,RESERVOIR,,,,,,,,,N,,SPARSE,RARE,SPARSE,,,,M,,,,LOW,,ARTIFICIAL,2,RARE,SPARSE,RARE,RARE,MODERATE,MODERATE,RARE,MODERATE,L,,,,,,L,POOR,,,L,,L,,L,,,FAIR,EUTROPHIC
2010570,4/26/2021,NLA17_KY-10002,25-Jul-17,1,NLA,KY,ASSESS,,,,,,,,,5,EXCELLENT,,RESERVOIR,,,,,,,,,N,,MODERATE,RARE,MODERATE,,,,,,,,LOW,RESTRICTED,ARTIFICIAL,5,,SPARSE,,EXTENSIVE,SPARSE,RARE,SPARSE,RARE,,L,L,,L,M,,EXCELLENT,,,,L,,,L,,,GOOD,MESOTROPHIC
2010571,4/26/2021,NLA17_RI-10011,25-Jul-17,1,NLA,RI,ASSESS,,,,,,,,,2,FAIR,,RESERVOIR,H,,L,,,L,,,N,,SPARSE,SPARSE,SPARSE,M,,,,,,,LOW,,ARTIFICIAL,2,RARE,SPARSE,MODERATE,RARE,SPARSE,RARE,MODERATE,MODERATE,M,,,,,,H,FAIR,,L,L,H,M,H,H,M,,UNSWIMMABLE,HYPEREUTROPHIC
2010572,4/26/2021,NLA17_MN-10159,25-Jul-17,1,NLA,MN,ASSESS,,,,,,,,,5,EXCELLENT,,SEEPAGE,,,,,,,,,N,,SPARSE,RARE,RARE,,,,,,,,LOW,,NONE,5,RARE,SPARSE,RARE,EXTENSIVE,MODERATE,RARE,MODERATE,MODERATE,,,,,,,,EXCELLENT,,,,,,,,,Y,GOOD,MESOTROPHIC
2010573,4/26/2021,NLA17_NC-10001,23-Jul-17,2,NLA,NC,ASSESS,,,,L,,,,,4,FAIR,,RESERVOIR,,,,,,,,,N,,SPARSE,RARE,RARE,M,,,,,,,HIGH,,ARTIFICIAL,3,RARE,MODERATE,EXTENSIVE,MODERATE,SPARSE,MODERATE,MODERATE,RARE,L,M,L,L,,,L,EXCELLENT,M,L,,M,L,H,M,,,GOOD,MESOTROPHIC
2010574,4/26/2021,NLA17_NC-10004,24-Jul-17,2,NLA,NC,ASSESS,,,,,,,,,5,EXCELLENT,,RESERVOIR,,,,,,,,,N,,SPARSE,RARE,SPARSE,,,,,,,,,BANNED,ARTIFICIAL,4,RARE,MODERATE,EXTENSIVE,MODERATE,SPARSE,MODERATE,MODERATE,SPARSE,,,,,,M,L,EXCELLENT,M,L,,M,L,H,M,,,GOOD,MESOTROPHIC
2010575,4/26/2021,NLA17_NC-10011,25-Jul-17,1,NLA,NC,ASSESS,,L,,,,H,,,3,FAIR,,RESERVOIR,,,,,,,,,N,,SPARSE,SPARSE,RARE,L,,,,,,,LOW,,ARTIFICIAL,3,RARE,SPARSE,SPARSE,SPARSE,EXTENSIVE,RARE,MODERATE,SPARSE,L,,,,,,L,FAIR,L,L,,L,,M,,,,FAIR,MESOTROPHIC
